"titles","pros","cons","toceo"
"""최고의 자부심으로 노력하는 회사. 변화하기 위해 노력하는 회사""","고객의 자부심을 모토로 변화하는 고객의 요구에 목소리를 기울이고자 노력함. 기업문화도 변화하려고 지속적으로 노력함.","노력에 비하여 구성원들 모두가 공감하고 실행력 있는 변화가 있다고 보기 어려움. 약간 공무원과 같은 느낌으로 변화시도에 크게 움직이지 못함.","변화를 원한다면 변화의 방향만 정하는데서 그치지 않고 위에서부터 실천의지를 보여줘야 함. 눈치게임이 반복되지 않도록 할 필요가 있음"
"""디자인을 배우기 보다는 대기업의 문화, 관계, 커뮤니케이션의 스킬을 배울 수 있었다.""","1. 기본적으로는 연차 눈치 안보고 쓸 수 있음. 그러나 팀마다 케바케임.
2. 복지가 잘되어 있음. 함께 일하는 데 매너가 좋음.","1. 크리에이티브한 디자인을 요하진 않음.
2. 디자인적으로 성장하기 위해서 좋은 직장은 아님.","합리적인 보상체계를 만들어주었으면 좋겠다."
"""생각외로 수평적인 관계 급여에 비해 높지않은 근무강도 하지만 이거야말로 부서 바이 부서""","모든 업계내에서도 상위에 속하는 연봉,복지 자기의견을 내기 어려움이 없음","자리만 차지하고 오래앉아있으면서 월급 축내는 사람이 다소 많음 근무강도와 분위기가 부서에 따라 천차만별","주니어들에게만 넘쳐나는 과도한 일거리"
"""지속적인 교육을 받을 수 있도록 신경써주고 열심히 근무하게 하는 분위기""","자유로운 분위기 속에서 직원들과 대화하며 근무할 수 있는 분위기.
손님이 없을때는 자기개발을 할 수 있음","영업에 대한 스트레스가 많고, 휴식시간이 불균형하여 힘듦
회식이 잦음","영업을 늘리기 위해 어떻게 해야될지 지속적인 회의와 노력이 필요함"
"""육체적 피로보다 정신적 피로를 잘견디는 분에게 적극 추천하는 직정""","직원에게서 스트레스 받을 일없음 / 좋은 회사 분위기와 복지","업무난이도! 그 외에 지적할 만한 사항 전혀 없음 / 시간단위 정기적 휴식이 없어 힘든 환경 / 쉬는데 눈치는 의외로 보이지 않으나 실적등으로 곤란한 점이 많음 /","인력이 많이 충원된다면 자연스럽게 해결될 문제가 많은듯, 기업에서 채용을 적게한다는 인상은 전혀없으나 업무 난이도 등으로 퇴사율이 높은듯"
"""대한민국 대기업의 복지수준을 선도할만한 곳. 그러나 업무 스트레스도 그만큼 최강일지도...""","아르바이트(단기계약직) 장기계약직과 준하는 복지를 누릴수있음. 사대보험은 물론 사내 카페테리아, 도서관 등을 모두 이용할수있으며 근무 시간 중 기업 내 유명인사강연에 가도 뭐라하는 사람 아무도 없음. 명절선물까지 챙겨줄 정도로 사옥 내 모든 직원들의 복지가 잘갖춰진 느낌.","단순직무라 따분하고 배울 것이 많지 않음. 밖에서 보는 것만큼 기업문화가 그렇게 진보적이지 않은것 같다. 생각보다 현실적(?). 계약직 중에는 탈출(?)을 꿈꾸는 분들이 꽤 많다. 업무 스트레스가 엄청남..","생각보다 업무에서 전표관리가....허술+엉망인 경우가 있다... 최고의 통신IT기업이 맞는지 의문이 들정도. 돈을 들일 필요가 없는 쪽이라 생각해서인지. 주먹구구식의 관리는 바꿔야하지 않을까."
"""판매직은 말그대로 실적없으면 받아가는돈이 적다
상부에서 실적없는 대리점은 압박을주며 각종 이권을 못받음.""","대리점이였고 사장님이 좋은분이라 편하게 재량껏 일을 할 수 있었다.
3개월쯤 하고나니 일반회사원보다 돈은 더벌 수 있었음
군대가기전까지 일을했는데 나름 재미있게 일을 할수 있었다","복지제도가 다양하지만 실제로 사용하는건 별로 없음.
혜택은 많다 이용할 수 있으면 무조건 이용하는게 좋음","실제로 사용할수 있는 복지혜택을 받기를 바라며 , 판매실적보단 판매할 수 있는 기반을 다져주는게 여러모로 직원,기업에 도움될 것 같다"
"""개발자로서 스킬상승은 있으나 워라밸 최악. 기본 퇴근이 10시임""","자유로운 분위기, 정형화된 업무, 근처에 먹을 곳 많음(을지로).","문서작업시간이 너무 많음, 하루종일 일만해도 시간이 부족할정도로 업무량 많음.","직원에게 너무 압박을 안했으면 합니다. 특정 인물들에게 업무가 너무 많이 주어집니다."
"""명실공히 최고의 회사, 다만 해외법인 근무는 추천하지 않음""","연봉, 복지에 있어 최고의 회사. 부문별, 팀별 복불복으로 빡센 곳도 있지만, 워라밸 가능한 부서가 많음.","그룹 내 타법인 대비 텔레콤은 해외 신규 사업 추진에 있어 어려운 점이 많음.","글로벌 신규 사업 추진에 있어 좀 더 적극적인 의지를 보여줬으면."
"""기업문화가 좋아서 편하게 다닐 수 있는 곳이고 여러가지로 빠지는 점 없음""","연차를 눈치 안 보고 쓸 수 있고 직급이 없어서 수평적인 분위기에서 일할 수 있음. 근무시간 탄력적 조정 가능","기존 BM이 좋다보니 신규서비스에 대한 인식이 높지 않은 편이나 최근에 개선되고 있는 중","신규 사업 추진을 1년짜리 단기가 아니라 장기적 성과 선에서 봐 주었으면"
"""도태되있는 분위기가 만연한 곳. 개개인 스스로 정치하면서 보람없이 다닌다.""","출퇴근이 비교적 자유롭고, 오래 다닐수 있는 분위기가 만연.","보고를 위한 보고서 작성, 모든 지시에 가능하다고 조아리는 분위기.","무능력한 사람들이 남아서 해먹는 분위기..를 자각 하셨으면."
"""개개인에게 기회가 많이 주어진다. 전문성 기를 수 있는 곳""","워크 앤 라이프 밸런스 측면에서 탁월 .52시간 근무제 잘 지켜짐","부서마다 다르겠지만 일을 배우기 보다는 직접 헤쳐나가야하는 시스템","개개인에게 기회를 많이 부여하는 것 처럼 배울 수 있는 기회도많이 주었으면 좋겠음"
"""수평적인 조직구조를 띄어 의견을 자유롭게 제시 가능""","수평적인 구조, 근무시간 2주 80시간 제도를 도입 해 자유로운 근무 가능","단순 보고를 위한 문서 작성이나 자잘한 업무처리 요구가 많음","지금보다 더 직원들을 위해 노력해줫으면 하는바"
"""야근이 많이 있지는 않습니다. 생각보다 출근시간 퇴근시간 자유로움""","연차 눈치없이 쓸수잇음, 자기개발비 복지포인트 넉넉히 들어옵니다. 제조위주 회사들보다 역시 자유롭고 프리한 분위기","타 대기업, 다른 sk비교 연봉이 높지는 않음. 상승률또한 엄청 높은편은 아님. 그래도 야근이 많이 없기때문에 이해가능한 수준.","합리적인 보상 체계를 만들어 줬으면 좋겟다. 프로젝트에 따른 보상이 미미하여 의욕이 좀 떨어짐."
"""오전 9시 출근 오후 9시 퇴근 주 6일에 150만원을 받는데 일년에 10만원씩 인상한다고 함. (2014년 기준) 업무량은 적으나 워낙 장시간 일하느라 다른 생활은 불가능하고 돈쓸 시간조차 없음.""","직장과 집만 계속 왔다갔다 하므로 돈 쓸 시간이 없어 몇 년 일한다면 목돈을 모을수도 있음.","사무직이기는 하지만 점심시간이 따로 없고 손님이 뜸한 시간에 교대로 허겁지겁 도시락(본인이 준비)을 먹어야 함.","오랫동안 일할 사람을 원한다면 근무시간을 주 40시간으로 조정하기를 권고함. 주 6일 48시간 일하는 직장이라면 그만한 메리트(금전적 보상이나 대체 휴가)가 있어야 할 것임."
"""복지가 좋으나 안주하는 분위기가 만연해 있다고 생각함""","복지는 국내 대기업 중 최고 수준이라고 생각함
수평적인 기업문화","안주하는 분위기
인력 적체
잦은 조직 개편
글로벌 사업 부재","의사결정 및 장기적인 관점에서 사업 추진"
"""부서별 사람별로 업무강도가 매우다름 대기업이라는 자부심""","대기업다운 복지와 규모의 경제를 확인가능, 복지가 좋은것 같고 휴가가 비교적 자유로움","인턴전환율이 매우적음. 본사 사무실에 안계시는 분들이 많음","상반기 인턴만 모집하는 형태를 바꾸던지 전환율을 높여줬으면"
"""늘 그렇지만 대한민국 최고의 직장. 업무에 대한 자부심, 높은 연봉과 복지, 안정적인 인사제도.""","한가지에 집중할 수 있는 기회, 저변을 넓힐 기회가 많음","인사적체? 고스펙에 뭉쳐진 사회에서 볼 수 있는 전형적인 부족함들이 간혹있음","안정적인 신사업 추진, 정부와의 지속적인 comm"
"""국내 1위 통신사, 20년연속 국가고객만족도 1위 and what else?""","1.MNO 1위, 가입고객수 천만이라는 엄청난 캐시카우 2.사내유치원, 피트니스센터, 구내식당을 포함한 복리후생 및 자기계발에 대한 지원 국내최고수준 3.팀장을 제외한 모든 직책은 매니저로 호칭이 통일되어(계약직, 파견직, 파트타이머 모두 포함) 의견 개진시 눈치 안 보임. 연차 사용도 매우 자유로움 4.팀바이팀이지만 사람때문에 스트레스 받는 일 크게 없음. 굳이 뽑자면 연차로 목에 힘주는 사람 or 업무 미루거나 밀어내는 사람 정도. 인사팀이 사람 잘 뽑는 듯 5.정시퇴근해도 뭐라하는 사람 없고, 특히 매주 수요일엔 패밀리데이라고 노조 차원에서 정시퇴근종용","1.포괄임금제(주는만큼 굴리는건지 굴린만큼 주는건지 헷갈림) 2.아웃풋 대비 턱없이 적은 인풋(종업원수 기준 kt 2만명, skt 4천명) 3.지금도 충분한데 업무효율성 더 높이겠다며 이런저런 모험을 많이 함. 팀장급도 위태로운 위치 4.MNO 1위 자리는 굳혔고, 신동력 창출하겠다며 몇년전부터 사업구조 및 조직개편중인데, 향후 5년 간 산만한 분위기가 지속될 것 같음(임원이 자주 바뀜. 조만간 사장 또 바뀔 거라는 분위기) 5.사람 피 말리는 성과주의(4천명으로 굴러갈 수 있는 이유)","고객의 자부심이라는 이상한 캠페인 좀 중단하고, 인력수급이나 원활하게 해줬으면. 엘리베이터 탈때마다 낯 뜨거워져서 바닥만 보게 됩니다. Can’t take my eyes off you는 너무 진부하지 않나요? 90년대로 돌아간줄..."
"""대기업에 다닐 수 있는 기회로 어린나이에 경험해보기는 좋으나 파견계약직에서 그치는 고용형태가 아쉬웠다. 아무리 열심히 일해도 고용형태는 바꿀 수 없는 구조.. 자체계약직 기회라도 주어질 수 있으면 좋겠다.""","핸드폰 사용요금 지원혜택이 일단 가장 크고, 지원들에 대한 복지가 좋은 편이다. 기업문화가 자유로운 편이고 호칭은 매니저로 통일되는 점이 좋다. 야근도 많지 않은 편이다. 윗사람 눈치보여서 야근하는 분위기는 아님..","아무리 열심히 일해도 고용형태는 바꿀 수 없는 구조로 자체계약직 기회라도 주어질 수 있으면 좋겠다. 고용이 2년이 제한이라는게 아쉽다. 열심히 일하면 계열사 이동 추천은 해주기는 아지만 파견 2년 제한이라는 것은 고정..","그래도 만족하고 다닌 편이다. 자유로운 기업 문화에 분위기도 좋았다. 열심히 일한 직원에게 정규직 전환 기회가 주어지면 좋겠다. 급여도 용역회사가 떼가는게 많아서 슬픔.."
"""수평적이고 서로 편안하게 어울리는 분위기""","수평적인 사무실 분위기, 을지로에 있는 사무실, 여러가지 복지 혜택, 훌륭하고 배울점이 많은 선배 밑 동기, 구내 식당 엄청 맛있음","그닥 단점으로 생각할만한 점이 떠오르지 않는다.. 회식도 별로 없었고 서로 존중하는 분위기였고.. 팀바팀일듯","과거 재직 회사라 현재 상태를 확실히 모르지만 현상유지만 해도 훌륭하지 않나 생각한다"
"""역량있는 다양한 동료들과 삶과 일의 균형을 이룰 수 있는 직장임""","핵심 bm에서 창출되는 다양한 cashflow와 큰 기업이 기본적으로 갖추어야 할 기업문화를 가지고 있음","확실한 bm을 벗어난 다양한 신규사업을 시도하나 기본 장치 사업자의 기업문화를 벗어나지 못하여 변화에 둔감함","과감한 변화를 위한 포트폴리오 매니지먼트가 중요함"
"""주어진 업무만 수행하면 되는 곳, 자기발전이 노력하면 가능한곳이고 연봉이 쌘편이라 꿈의 직장이라 불리우는 듯.""","연차 자유, 강요없는 분위기, 근무강도 약함 복지는 왠만한 대기업들보다 좋다고 할 수 있음. 선배들이 묻는것에 잘 알려줌 독과점 통신기업.","정형화된 일만 하면 되는 곳이라 발전하기 위해서는 업무 외 다른 공부를 해야하는데 이게 쉽지가 않음.","대체적으로 만족함. 회사 내 자기개발을 위한 프로그램이 많으면 좋을것 같음."
"""정규직으로 들어간다면 정말 계속 다닐수 있다. 계약직은 딱 그 업무만하고 제한이 있다. 어릴때 경험으로 들어가길 추천""","전직원 복지가 최상, 연차 눈치 안보고 쓸수 있다.노동조합에서 쓰도록 독려함,수요일은 무조건 6시칼퇴해야함 , 각종 혜택도 많으며 직원을 위해 의료서비스, 혹은 초청강연등의 복지가 좋다","부서마다 다른데 회의가 많은 부서도 있고 좀더 자유로운 부서도 있다. 자율출퇴근제를 시행 하는 부서도 있고 아닌부서도 있어서 장점이자 단점이 될 수있다","아무래도 일 잘하는 사람을 좋아한다. 모두를 끌고 간다기 보단 잘하는 사람을 끌고 가려는 모습이 더 많다."
"""연봉은 사기업, 기업문화는 공기업. 하루 하루 흘러가는대로 편안하게 직장생활 할 수 있는 곳. 그러나 자신만의 비전을 갖고 있지 않으면 빠른 시일 내에 흐리멍텅해진 눈빛과 흐트러진 옷, 헝클어진 머리를 하고 입 벌리고 다니고 있는 생각없는 자신을 발견하게 됨.""","시장 1위의 여유를 느낄 수 있음. 내가 열심히 하나 안 하나 어차피 실적 변동은 거의 없음. 하루 하루 편안한 직장 생활을 할 수 있음. 정년 보장.","실적을 높이기 위한 회의가 많은 편. 하지만 사업 특성상 한계가 있다는 것을 조직원 모두가 알고 있음. 그래도 사기업의 탈을 쓴 만큼 뭐라도 공격적인 모습을 보여야 하기에 다같이 쇼를 하는 분위기.","구체적인 비전 제시를 했으면 좋겠다. 더 이상 큰 매출 증가를 기대할 수 없는 산업인 만큼 직원들이 뭔가 새롭게 도전할 수 있는 사업을 제시했으면 좋겠다."
"""대기업의 체계는 잘 갖추어져있으나 일하는 시간과 업무량에 비해 박봉이다..""","온갖종류의 사람을 만날 수 있다. 업무특성상 진상이 많으며 몸에서 사리를 만들 수 있다. 직원들끼리는 서로 다독이며 잘지내는편이었다.","야근과 주6일근무로 개인생활이 거의 없다고 보면된다. 거기에 박봉은 덤. 온갖진상을 만나 멘탈을 단련할수도 있겠지만 오히려 멘탈이 깨지고 사회에대한 나쁜 감정만 생길 수 있다.","손님을 왕처럼 모실게 아니라 직원을 아끼고 지원해주면 좋겠다."
"""국내기업중 연봉과 복지 측면 그리고 구성원들의 잠재역량이 최고 수준. 다양한 사업만큼 다양한 문화가 혼재. 기업문화의 melting pot""","안정적 사업모델, 지속적인 혁신시도, 기업전반에 걸친 젠들맨쉽, 업계1위의 브랜드","제도의 잦은 변화, 느슨한 성과관리, 온정적 문화, 변화에 대한 내부저항, 노조","직원규모가 더 커져도 됨, 꾸준한 제도 운영 필요, 철저한 성과 관리"
"""엘지텔레콤보단 좋아요. 길거리에서 가판하는것도 없습니다.""","실적압박이 타통신사에비해 낮고 최소급여보장도 해주기때문에 안정적이긴해요","인센티브가 작고 교육이많고 간판은 SK텔레콤 직원이지만 개인대리점 사장밑에서 근무하는거기때문에 윗사람이 여러명있는 느낌입니다.","판매직군 처우도 개선해주셧으면 하는 바람입니다. 핸드폰판매점에만 신경쓰지말고 대리점에 투자많이해주셧음 좋겟어요"
"""기업문화와 급여, 복지 등은 국내 대기업 및 외국계 기업들과 견주어 나무랄데없이 훌륭합니다.""","친화적인 분위기와 훌륭한 복지 서비스를 갖추고 있으며 특히 개인 휴대폰 비용, 복지시설, 교육기회 제공 등은 아주 훌륭합니다.","전문인력의 부족으로 인해 업무 전문성이 조금 떨어지고 기업문화가 상당히 관료적인 면이 큽니다.","지속성있는 조직투자와 능력있는 인재발굴 및 유지에 집중하시면 좋을듯 합니다"
"""처음에 기대했던 딱딱한 분위기와는 달리 수평적 구조가 형성되어 있는 회사입니다.""","낯선 환경에서 적응을 잘 할수 있도록 주변 구성원들이 많이 도와주는 편입니다.","갑작스런 결정이 비민주적으로 이뤄질때가 있습니다. 사원의 입장에서 그럴 경우 많이 허탈해지고 업무의 효율이 떨어질 수 밖에 없습니다.","비민주적인 의사결정이 줄어들었으면 좋겠습니다."
"""기업 문화가 대기업치고 매우 유하다. 서로 웃으며 근무하는 분위기""","매니저님이라고 통일되게 불러 상사들 얼굴과 직함을 외우는데 부담이 없음. 야근 강요 없고 오히려 인사없이 자리에서 뜨는 경우도 많다","디자이너가 필요하면 공채를 넣지 계약 파견직이 허다하다. 3개월에서 길면 6개월까지 계약직 디자이너 갈아치우는 비용과 인력 낭비가 쓸데없음","티오를 늘려줬으면.. 너무 안뽑는다. 돈도 많이 벌면서"
"""손안에 쥔 부를 놓칠까봐 전전긍긍하며 어떻게든 활로를 찾아보려 시도하는 회사""","시대의 급격한 흐름 변화와 무관하게 기대수익이 어느정도 보장되며, 그만큼 급여도 안정적임","입으로는 누구보다 진보적인 척 하지만, 속내는 누구보다 보수적임","수년간 부르짖는 것처럼 산업 혁명을 이루려면 조급함과 선입견을 버렸으면 함"
"""대기업에서의 경험을 해보고 싶은 사람에게는 추천""","복지가 좋음, 야근수당, 휴일근무, 등 일한 것에 대한 페이는 확실히 보장됨, 그 외 식사비 등 기본적 복지도 좋음","일이 엄청 급하게 진행되는 느낌... 갑자기 해야할일이 생기고 그걸 할 사람은 없음.. 그럼 내가 해야됨..","딱딱한 분위기는 어쩔 수 없는 것 같다.. 각자 자신의 일까지만 딱 선긋고 하지말고, 적극적으로 나서서 다같이 하는 분위기였으면.. 물론 그럴 순 없겠지.."
"""복지 연봉이 최대인 회사... 노력하면 얻을게 많지만 현장을 잘 모르는회사""","연봉 복지 네임벨류가 최고이고 낮은 퇴사율이 모두 설명함","현장을 너무 알지 못하는 부자집 막내아들 같은 분위기 임원은 책임지기 싫어함","빠른 결정이 필요하고 현장과 연동된 사업 개발이 필요함"
"""지사에서 근무했던만큼 본사와는 약간은 다른 문화에서 일을 했다.""","무언가 회의를 통해 결정되는부분들이 좋긴하다 내가 이야기하는 부분들이 반영되는점도 좋은 부분이다.","지사다 보니 본사의 수평적인 문화가 100퍼센트 적용되진 않았다.","좀더 유연한 사고?
겉으로만 수평이 아닌 내면적으로 수평화 요구"
"""유연한 회사분위기와 계약직임에도 많은 혜택을 누릴 수 있는 것이 큰 장점""","자유로운 업무활동으로 출퇴근이 유동적이였음.
업무달성시 눈치없이 퇴근 가능","업무가 끝난 시간 이후에도 급작스러운 업무지시가 많았음.
/잦은회식","업무시간 이외의 지시와 형식적인 보고서 작성은 굉장히 불필요하고 불편하므로 고쳐줬으면 함"
"""돈받으며 편하게 오래 일하고 싶은 사람에게는 좋은 회사이지만 이 회사를 퇴직하고 나서는 미래가 없을 수있음""","연봉이 높고 사내 복지가 좋음. 이로인해 어디 이직을 못하는 단점이 있지만, 관련 직종뿐만 아니라 다른 곳 비교해서도 상당히 높은 수준의 연봉과 복지가 제공되고 있음.","쓸데없는 보고가 너무많음. 팀장을 위한 보고, 본부장을 위한 보고, 부문장을 위한 보고, 보고를 위한 보고, 또 그 보고를 위한 보고서 만드느라 시간이 다감. 일에 전문성을 가지기 보다는 윗사람 방향에 맞추어 이리저리 흔들리다가 남들보다 뒤처짐","조금더 말랑말랑한 생각을 가지고 새로운 사업을 해보려는 시도가 있었으면 좋겠다. 너무 숫자에만 얽매혀 있지 않길 바란다. 아래 사람들의 생각을 들으려는 노력을 했으면 좋겠다."
"""사람들간 분위기 좋고 노조덕분에 복지가 괜찮은 곳""","연차 및 복리후생이 좋음. 직원들간의 분위기도 매우 좋은편. 계약직의 경우 파견직은 복지 사각지대가 있으나 밥값도 싸고 연1회 보너스도 만족.","계약직 및 파견직. 절대 전환없음. 계열사로 추천은 해주는건 팀장의 몫, 한번 일하고나면 재입사도 불가능함.","계약직 쓰고 평가 좋으면 전환 좀 시켜주세요."
"""일이 엄청 빡센 곳이었다. 업무 강도 최상""","기업의 인지도 높음. 일을 많이 배울 수 있었음. 위치가 을지로라서 교통 편함. 티타워 밥 맛있음.","야근의 일상화. 칼퇴하면 안좋게 봄. 대기업 특성 상 다른 사람이 뭘 하는지 알 수가 없는데 본인들이 뭘 해놓고 알려주질 않음. 그거 때문에 내 업무에 지장이 많았음.","불필요한 대기 시간은 줄여주셨으면 좋겠음. 굳이 휴일 반납하며 나와야 했나 불만 사항 많음."
"""개발 역량을 키울수 있는 특수한 팀에 있었음 그 외에 팀에서 개발 커리어 쌓기는 불가능""","자유로운 휴가와 높은 연봉과 복지로는 최고의 회사입니다","조직개편이 심하고 어느 부서이던간에 분사의 위험은 존재하기 마련이다","신규 사업에 대한 지속적인 지원 필요. 3년마다 물갈이는 없었으면"
"""계약직이라고 해서 무시하지 않고 그들을 인정해주고 우대해주는 기업입니다.""","다양한 복지제도와 T타워의 시설이 좋아 깨끗한 환경에서 근무할 수 있었습니다.","업무 특성상 야근이 많을 수 밖에 없고 사업의 운영 상황을 아래 직원에게는 상세하게 알려주지 않는다는 느낌이 들었습니다.","신규 사업을 추진하고 운영하기 위한 최소한의 인프라는 구축이 되어야 있어야 한다고 생각합니다."
"""버틸 수 있다면 다니시길
강한 멘탈로도 견디기 어려움
고객상대 뿐만 아니라 내부프로세스가 빡쎔""","여성들이 많은 만큼 여성을 위한 복지, 다른 cs에 비해 높은 급여","내부 프로세스가 광장히 빡빡함
지켜야할 지침 너무 많음
하루하루가 버티는 삶","상담원을 옥죄는 프로세스
윤리적이지 못함
너무 많은 것을 요구함"
"""대한민국 톱클래스의 월급과 복지 그것으로 skt를 말할수 있다""","자율복장과 성과에 따른 그에 합당한 보상
일정부분 업무 추진시 자율권 보장","보고를 위한 보고서 자율적으로 보이나 보이지 않는 유리벽이 느껴지는 환경 신규 사업을 위한 창의력을 발산하기 어려운 구조","오너 눈치 보지않는 사장과 임원들로 바껴야 할듯"
"""복지하나만으로 그냥... 다닐만한 회사, 솔직히 기업문화는 전반적으로 유한편이다.""","수평적이나 그만큼 업무분담이 잘 안되는 감이 있음, 특히 그에따른 떠넘기기가 심함","문돌이들의 회사이므로 사실상 ICT회사는 아님, 마케팅회사임 기술역량쌓기는 힘듬","문돌이들이 그만 지배하게 했으면.. 공돌이들도 요직에 나가야한다"
"""급여,복지, 재무상태에서는 최고의 직장, 퇴근시간이나 연차가 잘 지켜졌으면""","복지가 좋음, 급여도 같은업종에서 거의 최고수준이라고 생각함","퇴근시간이 정해져있지 않음, 체계적이긴하나 문서작성이 많음","군대 문화를 좀 줄여줬으면 좋겠고 퇴근시간이 지켜졌으면 좋겠습니다"
"""겉으로 보이는 복지와 수평문화는 정규직만 적용됨. 계약직은 절대 정규직 전환 안하니 헛된 기대 말것""","사내 식당이 있어서 조식을 제공하고 매주 수요일 패밀리데이로 6시 퇴근 문화 있음. 쉽게 접하지 못할 큰 규모의 사업기획과 온오프라인을 아우르는 다양한 이력을 만들 수 있다","전문/경력 계약직이라도 급여가 형편없음. 역량보다는 전직장 기준 급여책정. 정규직은 매니저라 불리나 계약사원은 이름을 부르거나 00씨로 부름. 팀에 따라 다르지만 계약직은 역량이 되는데도 중한 업무는 맡기지 않으며 아예 상관없는 업무를 주거나(RA) 자기가 할 일을 바쁘다는 이유로 계약직에게 시킬때가 있음. 타운홀 미팅이라는 구성원 전체 행사나 임원진 만남이 있을 때는 아예 제외를 시켜서 기업문화 개선점을 제안을 하고 싶어도 기회가 주어지지 않음","인력 활용 좀 잘하시길. 퇴직금 안 주려고 필요한 인력인데 계약연장 안하고 해당 인력을 파견계약으로 다시 뽑는건 뭔가. 모듈단위 밑으로 내려갈수록 구멍이 많다. 예산없이 프로젝트 성과내길 바라지말고 팀활동비나 회식비를 줄이시길."
"""복지가 잘 되있고 경영진이 젊고 모두 척하다""","정말 높은 복지 좋고 착한 사람들 깨끗한 건물과 깔끔한 내부. 시설도 최고","야근이 좀 잦고 체계가 대기업 치고눈 잘 안잡혀 있고, 자율 시간이 많이 부족함","대기업답게 잘 커가고 있으나 가끔은 좀 쉬어갔으면"
"""명실상부 대한민국 최고의 통신회사, 그에 걸맞은 사원 대우, 사원으로 하여금 애사심이 저절로 생기게 해줌""","다른 회사들에 비해 자유로운 분위기
한국 회사 중 비교적 개인의 능력을 대우 해줌
비교적 높은 고용안정성","삼성전자나 현대차 정도의 기업과 비교하면 월급이 적음
개인의 발전보다는 회사의 발전을 위해 일한다는 감이 없지 않음","앞으로도 계속 사원들을 사랑해주시고 조금만 더 세대간의 격차를 줄이면 좋겠다"
"""대한민국 대기업 중 탑클레스. 연봉, 복지 등 모든 면에서 여타 기업에 밀리지 않음""","수평적인 문화와 아이디어를 실현하는데 스피드가 있음. 예산 투자가 되는 사업도 신속히 진행 가능. 노조의 힘 또한 강함","수평적이다 보니 부서간 경쟁이 심함. 부서간에 유사한 일로 경쟁하는 일도 가끔 발생","약간의 체계가 필요합니다.
매니저 제도가 개선될 필요가 있습니다"
"""안정적이고 깔끔한이미지의 회사. 누구나한번쯤 일해ㆍ브고싶은회사""","복지와 연봉 그리고 안정적인 보너스. 본사직원들의 자부심","의사결정이 느리고 공무원적인 느낌 많음. 똑똑한사람 와도 실력발휘가잘안됨","개인의 역량을 더 발휘할수있는 분위기를 만들어주세요."
"""높은 급여와 최고수준의 복지환경, 허나 정체된듯한 사내분위기""","업계 1위다운 높은 급여와 좋은 복지, 수평적이고 자신의 일 외에는 딱히 터치하지않는 근무환경","연령대가 높은편으로 전체적인 분위기가 보수적이고 정체된듯한 느낌이 있음, 야근이 자주있어 여가시간이 부족함.","일을 효율적으로 배분함에 있어서 다소 미흡하다고 생각됨."
"""높은 인지도와 급여, 복지는 인정함. 동시에 통신업이라는 세련된 이미지는 덤. 그러나 엘리트주의 심함.""","높은 급여, 뛰어는 복지, 대외 인지도. 통신업이라는 업종 자체가 주는 세련된 이미지.","보고 문화가 많고, 엘리트주의가 심함. 지방대는 명함 못 내밈. 그리고 현장 마케팅에 대한 대우가 각박하고, 경력직 혹은 skt 공채 출신 외에 대한 배척이 있음","일하기 좋은 문화를 내세우지만 능동적으로 일하게끔 하는 문화는 아닌듯 함"
"""복지와 처우는 세계 최고수준 문화는 자기하기나름임....""","복지와 처우는 세계 최고수준 문화는 자기하기나름임....","팀장 잘못 만나면.......................답없음","개발팀 문화를 혁신하기 바람. .............."
"""유흥을 좋아하는 사람들에겐 아주 좋을듯함. 대부분이 열심히 놀고 일하는 시간은 적음. 첫 회사였던 이전 직장과 많이 대비가 됨.""","대기업답게 복지가 매우 좋음. 식대 제공되고 구내식당이 매우 잘되어있음. 칼퇴도 가능함. 서울의 중심에 위치해 지리상 이점도 꽤 있음.","기획전략팀 자체가 역피라미드형으로 신입사원이 성장할 수 있는 기회가 많이 없음. 그러나 최근에 밴드가 사라지고 능력별 승진 기회가 주어져 더 지켜볼만함.","딱히 없으나 역피라미드형 구조 개선이 필요함. 부문별 일정수의 신입사원은 두어야 함."
"""대기업이 거기서 거기라서 평가할만한 것도 없군요""","전문적인 기술을 요하기 때문에 어쩔 수 없이 자기발전을 해야할 수 밖에 없음","상명하복의 군대와 다를바 없는 조직. 직원이 아이디어를 내면 회사에서 원래 내부에서 준비하고 있었다고 하며 가로채는 황당함","직원들은 개돼지가 아니죠. 달라지리라 기대하지 않기 때문에 바라지는점은 없습니다"
"""안정적인 환경, 하지만 정체된 분위기가 강하고 약간 복지부동의 느낌있음""","매출이 안정적으로 나오는 비즈니스 모델을 바탕으로 높은 급여와 복지가 장점","성장이 수년째 정체되어있음. 계속되는 신규사업의 실패로 직원들의 사기가 떨어져 있음","경영진이 비전을 수시로 바꾸지 않고 지속적으로 추진하는 것이 필요"
"""대기업을 지망한다면 최고의회사
화려한 연봉과 복지
밖에서 보면 구글. 안에서는 글쎄""","화려한 연봉과 복지
팀마다 다르겠지만 비교적 자유로운 근무환경
SKT라는 자부심","비교적 짧은 수명
개인의 자율성이 높지만 그만큼 책임감과 업무도 많음","플랫폼에 대한 확실한 정의가 필요
지나친 유통망 의존보다는 혁신다운 혁신 필요"
